Epoch: 0 
itr: 1, G_loss : +0.594, D_loss_real : +0.084, D_loss_fake : +1.370
itr: 2, G_loss : -0.412, D_loss_real : +0.429, D_loss_fake : +1.228
itr: 3, G_loss : -0.006, D_loss_real : +0.000, D_loss_fake : +1.771
itr: 4, G_loss : -0.362, D_loss_real : +1.527, D_loss_fake : +0.000
itr: 5, G_loss : -0.163, D_loss_real : +1.567, D_loss_fake : +0.563
itr: 6, G_loss : +0.047, D_loss_real : +0.066, D_loss_fake : +1.529
itr: 7, G_loss : +0.275, D_loss_real : +0.349, D_loss_fake : +0.693
itr: 8, G_loss : +0.409, D_loss_real : +0.413, D_loss_fake : +0.000
itr: 9, G_loss : +0.006, D_loss_real : +0.703, D_loss_fake : +0.000
itr: 10, G_loss : -0.175, D_loss_real : +0.000, D_loss_fake : +2.202
itr: 11, G_loss : -0.274, D_loss_real : +1.256, D_loss_fake : +0.000
itr: 12, G_loss : -0.160, D_loss_real : +0.570, D_loss_fake : +0.472
itr: 13, G_loss : +0.013, D_loss_real : +0.268, D_loss_fake : +0.999
itr: 14, G_loss : -0.106, D_loss_real : +0.000, D_loss_fake : +2.713
itr: 15, G_loss : +0.925, D_loss_real : +0.000, D_loss_fake : +1.430
itr: 16, G_loss : +1.298, D_loss_real : +0.151, D_loss_fake : +0.258
itr: 17, G_loss : -1.124, D_loss_real : +2.640, D_loss_fake : +0.000
itr: 18, G_loss : -0.549, D_loss_real : +0.361, D_loss_fake : +1.496
itr: 19, G_loss : -0.589, D_loss_real : +0.000, D_loss_fake : +1.638
itr: 20, G_loss : -0.624, D_loss_real : +0.004, D_loss_fake : +1.534
itr: 21, G_loss : -0.232, D_loss_real : +0.896, D_loss_fake : +0.331
itr: 22, G_loss : +0.206, D_loss_real : +0.888, D_loss_fake : +0.140
itr: 23, G_loss : +0.579, D_loss_real : +0.243, D_loss_fake : +0.173
itr: 24, G_loss : +0.410, D_loss_real : +0.471, D_loss_fake : +0.178
itr: 25, G_loss : -0.326, D_loss_real : +1.251, D_loss_fake : +0.000
itr: 26, G_loss : -0.086, D_loss_real : +2.571, D_loss_fake : +0.000
itr: 27, G_loss : -0.293, D_loss_real : +2.560, D_loss_fake : +0.000
itr: 28, G_loss : +0.035, D_loss_real : +0.930, D_loss_fake : +0.000
itr: 29, G_loss : -0.246, D_loss_real : +0.769, D_loss_fake : +0.596
itr: 30, G_loss : -0.199, D_loss_real : +1.484, D_loss_fake : +0.000
itr: 31, G_loss : -0.051, D_loss_real : +0.446, D_loss_fake : +0.000
itr: 32, G_loss : +0.606, D_loss_real : +0.066, D_loss_fake : +0.850
itr: 33, G_loss : -0.743, D_loss_real : +2.853, D_loss_fake : +0.000
itr: 34, G_loss : +0.440, D_loss_real : +1.034, D_loss_fake : +0.260
itr: 35, G_loss : +0.545, D_loss_real : +1.038, D_loss_fake : +0.161
itr: 36, G_loss : -0.145, D_loss_real : +0.000, D_loss_fake : +1.974
itr: 37, G_loss : -0.448, D_loss_real : +2.733, D_loss_fake : +0.000
itr: 38, G_loss : -0.000, D_loss_real : +0.824, D_loss_fake : +0.000
itr: 39, G_loss : -0.350, D_loss_real : +0.047, D_loss_fake : +1.451
itr: 40, G_loss : -0.271, D_loss_real : +0.568, D_loss_fake : +1.013
itr: 41, G_loss : -0.141, D_loss_real : +0.525, D_loss_fake : +0.800
itr: 42, G_loss : -0.282, D_loss_real : +0.865, D_loss_fake : +0.732
itr: 43, G_loss : +0.066, D_loss_real : +2.070, D_loss_fake : +0.000
itr: 44, G_loss : -0.022, D_loss_real : +0.324, D_loss_fake : +0.609
itr: 45, G_loss : -0.423, D_loss_real : +0.554, D_loss_fake : +0.326
itr: 46, G_loss : +0.303, D_loss_real : +0.512, D_loss_fake : +0.000
itr: 47, G_loss : +0.299, D_loss_real : +0.621, D_loss_fake : +1.372
itr: 48, G_loss : +0.572, D_loss_real : +0.000, D_loss_fake : +0.000
itr: 49, G_loss : -0.484, D_loss_real : +0.745, D_loss_fake : +0.000
itr: 50, G_loss : +0.345, D_loss_real : +0.234, D_loss_fake : +1.211
itr: 51, G_loss : -1.183, D_loss_real : +0.890, D_loss_fake : +0.000
itr: 52, G_loss : -0.273, D_loss_real : +0.128, D_loss_fake : +1.150
itr: 53, G_loss : -0.298, D_loss_real : +1.884, D_loss_fake : +0.066
itr: 54, G_loss : -0.572, D_loss_real : +2.311, D_loss_fake : +0.000
itr: 55, G_loss : -0.047, D_loss_real : +1.186, D_loss_fake : +0.000
itr: 56, G_loss : -0.193, D_loss_real : +1.309, D_loss_fake : +0.000
itr: 57, G_loss : -1.072, D_loss_real : +1.135, D_loss_fake : +1.107
itr: 58, G_loss : +0.183, D_loss_real : +0.605, D_loss_fake : +0.272
itr: 59, G_loss : -0.049, D_loss_real : +0.413, D_loss_fake : +0.000
itr: 60, G_loss : +0.470, D_loss_real : +0.396, D_loss_fake : +0.163
itr: 61, G_loss : +0.556, D_loss_real : +0.913, D_loss_fake : +0.326
itr: 62, G_loss : -0.264, D_loss_real : +0.565, D_loss_fake : +0.000
itr: 63, G_loss : -0.189, D_loss_real : +1.245, D_loss_fake : +0.821
itr: 64, G_loss : +0.367, D_loss_real : +0.679, D_loss_fake : +0.037
itr: 65, G_loss : +0.158, D_loss_real : +1.028, D_loss_fake : +0.000
itr: 66, G_loss : +0.441, D_loss_real : +0.390, D_loss_fake : +0.101
itr: 67, G_loss : +0.469, D_loss_real : +0.354, D_loss_fake : +0.396
itr: 68, G_loss : +0.052, D_loss_real : +0.361, D_loss_fake : +0.784
itr: 69, G_loss : +0.069, D_loss_real : +1.239, D_loss_fake : +0.000
itr: 70, G_loss : -2.309, D_loss_real : +1.486, D_loss_fake : +0.000
itr: 71, G_loss : -0.323, D_loss_real : +0.738, D_loss_fake : +1.359
itr: 72, G_loss : -0.082, D_loss_real : +0.960, D_loss_fake : +0.000
itr: 73, G_loss : -0.207, D_loss_real : +0.346, D_loss_fake : +1.008
itr: 74, G_loss : +0.048, D_loss_real : +0.954, D_loss_fake : +0.000
itr: 75, G_loss : +0.020, D_loss_real : +1.440, D_loss_fake : +0.000
itr: 76, G_loss : -0.050, D_loss_real : +0.174, D_loss_fake : +0.993
itr: 77, G_loss : -0.098, D_loss_real : +0.286, D_loss_fake : +0.899
itr: 78, G_loss : +0.184, D_loss_real : +0.580, D_loss_fake : +0.209
itr: 79, G_loss : -0.092, D_loss_real : +1.252, D_loss_fake : +0.000
itr: 80, G_loss : +0.219, D_loss_real : +0.299, D_loss_fake : +0.752
itr: 81, G_loss : -0.201, D_loss_real : +0.064, D_loss_fake : +1.274
itr: 82, G_loss : -0.002, D_loss_real : +0.696, D_loss_fake : +0.000
itr: 83, G_loss : -0.483, D_loss_real : +0.716, D_loss_fake : +0.855
itr: 84, G_loss : +0.171, D_loss_real : +0.528, D_loss_fake : +0.442
itr: 85, G_loss : -0.038, D_loss_real : +1.857, D_loss_fake : +0.000
itr: 86, G_loss : -1.213, D_loss_real : +0.377, D_loss_fake : +0.000
itr: 87, G_loss : +0.700, D_loss_real : +0.508, D_loss_fake : +0.215
itr: 88, G_loss : -0.004, D_loss_real : +0.726, D_loss_fake : +0.000
itr: 89, G_loss : +0.103, D_loss_real : +0.999, D_loss_fake : +0.000
itr: 90, G_loss : +0.120, D_loss_real : +0.544, D_loss_fake : +0.000
itr: 91, G_loss : -0.504, D_loss_real : +1.811, D_loss_fake : +0.605
itr: 92, G_loss : -0.839, D_loss_real : +0.034, D_loss_fake : +3.758
